"positive_count","negative_count","label"
28198,17299,"hm_cluster1"
19185,12836,"hm_cluster1"
24870,13868,"hm_cluster1"
24707,13095,"hm_cluster1"
27107,18736,"hm_cluster1"
24519,17590,"hm_cluster1"
25141,14296,"hm_cluster1"
27225,15821,"hm_cluster1"
24375,16355,"hm_cluster1"
29220,18000,"hm_cluster1"
20737,18509,"hm_cluster1"
33195,16776,"hm_cluster1"
26741,15447,"hm_cluster1"
27563,14941,"hm_cluster1"
25004,16861,"hm_cluster1"
28646,19493,"hm_cluster1"
28661,17439,"hm_cluster1"
35079,20714,"hm_cluster1"
26948,11268,"hm_cluster1"
31086,17324,"hm_cluster1"
29327,15315,"hm_cluster1"
26109,17543,"hm_cluster1"
29443,17457,"hm_cluster1"
28876,17733,"hm_cluster1"
25932,14577,"hm_cluster1"
36405,14946,"hm_cluster1"
21702,14960,"hm_cluster1"
23505,13115,"hm_cluster1"
27025,17170,"hm_cluster1"
28358,17081,"hm_cluster1"
26604,13707,"hm_cluster1"
25520,12456,"hm_cluster1"
28387,19559,"hm_cluster1"
28912,15850,"hm_cluster1"
27981,12009,"hm_cluster1"
29871,19116,"hm_cluster1"
34089,16771,"hm_cluster1"
26098,17659,"hm_cluster1"
28629,18853,"hm_cluster1"
26652,12609,"hm_cluster1"
26887,15586,"hm_cluster1"
24649,14674,"hm_cluster1"
27041,18646,"hm_cluster1"
30660,19475,"hm_cluster1"
22653,15167,"hm_cluster1"
26783,13753,"hm_cluster1"
26017,15386,"hm_cluster1"
23260,15629,"hm_cluster1"
33956,19550,"hm_cluster1"
30456,17014,"hm_cluster1"
25593,15805,"hm_cluster1"
28056,21925,"hm_cluster1"
31371,18544,"hm_cluster1"
29402,14000,"hm_cluster1"
29834,19192,"hm_cluster1"
26070,14668,"hm_cluster1"
29586,20526,"hm_cluster1"
22038,14356,"hm_cluster1"
19494,16647,"hm_cluster1"
30523,15409,"hm_cluster1"
24545,15484,"hm_cluster1"
25610,17095,"hm_cluster1"
25524,16706,"hm_cluster1"
22677,13272,"hm_cluster1"
27992,21351,"hm_cluster1"
25885,16669,"hm_cluster1"
25590,16769,"hm_cluster1"
26870,14967,"hm_cluster1"
28454,19770,"hm_cluster1"
31795,17023,"hm_cluster1"
21716,14220,"hm_cluster1"
24318,16726,"hm_cluster1"
25170,13869,"hm_cluster1"
28264,16684,"hm_cluster1"
24556,13460,"hm_cluster1"
29669,17778,"hm_cluster1"
23190,16772,"hm_cluster1"
23894,16626,"hm_cluster1"
28024,14851,"hm_cluster1"
34888,18606,"hm_cluster1"
23499,15886,"hm_cluster1"
27244,18068,"hm_cluster1"
26179,16278,"hm_cluster1"
29848,16712,"hm_cluster1"
30953,13569,"hm_cluster1"
21230,12707,"hm_cluster1"
26940,15382,"hm_cluster1"
27661,17261,"hm_cluster1"
33059,18995,"hm_cluster1"
26963,17311,"hm_cluster1"
30982,14789,"hm_cluster1"
30382,18724,"hm_cluster1"
23682,18608,"hm_cluster1"
28429,14629,"hm_cluster1"
32307,17125,"hm_cluster1"
24077,12529,"hm_cluster1"
32562,16160,"hm_cluster1"
26676,19680,"hm_cluster1"
24356,15946,"hm_cluster1"
29226,14358,"hm_cluster1"
27480,15195,"hm_cluster1"
32408,16879,"hm_cluster1"
23254,14416,"hm_cluster1"
25698,14174,"hm_cluster1"
24011,16482,"hm_cluster1"
31160,18968,"hm_cluster1"
21085,14234,"hm_cluster1"
20651,16036,"hm_cluster1"
27788,15039,"hm_cluster1"
27560,17319,"hm_cluster1"
30276,16176,"hm_cluster1"
30247,15904,"hm_cluster1"
26163,21386,"hm_cluster1"
29940,15031,"hm_cluster1"
23462,17413,"hm_cluster1"
25118,16482,"hm_cluster1"
29187,17436,"hm_cluster1"
25328,15863,"hm_cluster1"
28098,16848,"hm_cluster1"
30109,16480,"hm_cluster1"
29552,19745,"hm_cluster1"
28057,19303,"hm_cluster1"
27373,18136,"hm_cluster1"
27583,17542,"hm_cluster1"
34165,20017,"hm_cluster1"
21817,16659,"hm_cluster1"
25544,15432,"hm_cluster1"
22728,15416,"hm_cluster1"
27696,12856,"hm_cluster1"
25386,17717,"hm_cluster1"
33852,17350,"hm_cluster1"
32638,17632,"hm_cluster1"
28566,18421,"hm_cluster1"
27963,16253,"hm_cluster1"
27251,14935,"hm_cluster1"
34236,18994,"hm_cluster1"
29154,17248,"hm_cluster1"
29022,15852,"hm_cluster1"
28728,13418,"hm_cluster1"
30559,18700,"hm_cluster1"
31959,17153,"hm_cluster1"
29029,18894,"hm_cluster1"
24416,17668,"hm_cluster1"
21518,13437,"hm_cluster1"
26114,14641,"hm_cluster1"
28016,15017,"hm_cluster1"
29007,20106,"hm_cluster1"
23170,16026,"hm_cluster1"
24918,15771,"hm_cluster1"
26623,16535,"hm_cluster1"
29924,13886,"hm_cluster1"
24277,17494,"hm_cluster1"
23771,13629,"hm_cluster1"
24174,14700,"hm_cluster1"
21911,16566,"hm_cluster1"
22452,15872,"hm_cluster1"
27465,16338,"hm_cluster1"
18536,15192,"hm_cluster1"
25648,13467,"hm_cluster1"
35741,19764,"hm_cluster1"
22660,17868,"hm_cluster1"
24440,15095,"hm_cluster1"
26028,15536,"hm_cluster1"
20461,17907,"hm_cluster1"
24250,11337,"hm_cluster1"
23893,14472,"hm_cluster1"
25865,13717,"hm_cluster1"
27884,15890,"hm_cluster1"
32621,20896,"hm_cluster1"
26613,15704,"hm_cluster1"
26997,19174,"hm_cluster1"
33065,18758,"hm_cluster1"
25690,14810,"hm_cluster1"
28252,15572,"hm_cluster1"
27042,15411,"hm_cluster1"
