"geneName","teName","coef","pair","group","age"
"ZNF528","L1PBa1",-0.446201258244269,"L1PBa1:ZNF528","negative","young"
"ZNF528","L1PBa",-0.617305230510606,"L1PBa:ZNF528","negative","young"
"ZNF528","MER34C2",0.476426188113833,"MER34C2:ZNF528","positive","young"
"ZNF528","MER9a2",0.671096006472698,"MER9a2:ZNF528","positive","young"
"ZNF528","THE1B-int",0.7406761763152,"THE1B-int:ZNF528","positive","young"
"ZNF528","THE1D-int",0.716036870933156,"THE1D-int:ZNF528","positive","young"
"ZNF558","SVA_C",0.467121214278567,"SVA_C:ZNF558","positive","young"
"ZNF30","LTR12C",0.448659435942438,"LTR12C:ZNF30","positive","young"
"ZNF778","LTR13",0.520364429425755,"LTR13:ZNF778","positive","young"
"ZNF778","MLT1A0",0.49747489018948,"MLT1A0:ZNF778","positive","young"
"ZNF778","MLT1A1",0.450579667655515,"MLT1A1:ZNF778","positive","young"
"ZNF778","MLT1A",0.450962738954821,"MLT1A:ZNF778","positive","young"
"ZNF778","MSTC",0.455206351634961,"MSTC:ZNF778","positive","young"
"ZNF778","MSTD",0.471946832720116,"MSTD:ZNF778","positive","young"
"ZNF440","HERVK9-int",0.702499383358085,"HERVK9-int:ZNF440","positive","young"
"ZNF440","L1M4b",-0.5103462408763,"L1M4b:ZNF440","negative","young"
"ZNF440","L1PA14",-0.459068428286876,"L1PA14:ZNF440","negative","young"
"ZNF440","L1PB1",-0.574349653627155,"L1PB1:ZNF440","negative","young"
"ZNF440","LTR10B1",0.645381110440628,"LTR10B1:ZNF440","positive","young"
"ZNF440","LTR13",0.729945317086754,"LTR13:ZNF440","positive","young"
"ZNF440","LTR41B",0.467345706134782,"LTR41B:ZNF440","positive","young"
"ZNF440","LTR5B",0.780799215109468,"LTR5B:ZNF440","positive","young"
"ZNF440","MER11A",0.686550184169718,"MER11A:ZNF440","positive","young"
"ZNF440","MER4A1",0.459391601088527,"MER4A1:ZNF440","positive","young"
"ZNF440","MSTB1",0.619384463390981,"MSTB1:ZNF440","positive","young"
"ZNF440","MamGypLTR3",0.550584245508397,"MamGypLTR3:ZNF440","positive","young"
"ZNF584","LTR5_Hs",0.815480089446921,"LTR5_Hs:ZNF584","positive","young"
"ZNF584","MLT1F-int",0.762264316470336,"MLT1F-int:ZNF584","positive","old"
"ZNF584","MLT1F1-int",0.705449169735587,"MLT1F1-int:ZNF584","positive","old"
"ZNF584","SVA_C",0.643416886219965,"SVA_C:ZNF584","positive","young"
"ZIK1","AluSx",-0.689235835526425,"AluSx:ZIK1","negative","old"
"ZIK1","L1MC4a",0.653151469480987,"L1MC4a:ZIK1","positive","old"
"ZIK1","LTR41B",0.618644691709924,"LTR41B:ZIK1","positive","old"
"ZIK1","MADE1",0.760966835563579,"MADE1:ZIK1","positive","young"
"ZIK1","MER11A",0.800941869386223,"MER11A:ZIK1","positive","young"
"ZIK1","MER52C",0.732822481602799,"MER52C:ZIK1","positive","old"
"ZIK1","MLT1E1",0.748593848226104,"MLT1E1:ZIK1","positive","old"
"ZIK1","MLT1F2",0.820693504796192,"MLT1F2:ZIK1","positive","old"
"ZIK1","MLT1J1",0.788125683985046,"MLT1J1:ZIK1","positive","old"
"ZNF417","HERVK14-int",0.508125516390101,"HERVK14-int:ZNF417","positive","old"
"ZNF417","LTR10B1",0.467790625732545,"LTR10B1:ZNF417","positive","young"
"ZNF417","LTR12C",0.469194618648388,"LTR12C:ZNF417","positive","young"
"ZNF417","MER66C",0.468224083465769,"MER66C:ZNF417","positive","young"
"ZNF519","AluSc8",-0.720849164177623,"AluSc8:ZNF519","negative","young"
"ZNF519","AluSc",-0.721393501105138,"AluSc:ZNF519","negative","young"
"ZNF519","AluSg4",-0.644744123586037,"AluSg4:ZNF519","negative","young"
"ZNF519","AluSg7",-0.73547548962701,"AluSg7:ZNF519","negative","young"
"ZNF519","AluSg",-0.610996779937135,"AluSg:ZNF519","negative","young"
"ZNF519","AluSp",-0.641568959477232,"AluSp:ZNF519","negative","young"
"ZNF519","AluSq2",-0.631576972277658,"AluSq2:ZNF519","negative","young"
"ZNF519","AluSq",-0.672794658796688,"AluSq:ZNF519","negative","young"
"ZNF519","AluSx1",-0.63723886935051,"AluSx1:ZNF519","negative","young"
"ZNF519","AluSx3",-0.704392313958394,"AluSx3:ZNF519","negative","young"
"ZNF519","AluSx4",-0.643467245524335,"AluSx4:ZNF519","negative","young"
"ZNF519","AluSx",-0.617218898689063,"AluSx:ZNF519","negative","young"
"ZNF519","AluSz6",-0.608910114213183,"AluSz6:ZNF519","negative","young"
"ZNF519","AluSz",-0.606162159753123,"AluSz:ZNF519","negative","young"
"ZNF519","AluY",-0.743360999645949,"AluY:ZNF519","negative","young"
"ZNF519","AluYc",-0.768147669890108,"AluYc:ZNF519","negative","young"
"ZNF519","HERVK-int",0.808175702220318,"HERVK-int:ZNF519","positive","young"
"ZNF519","LTR12E",0.689620136013901,"LTR12E:ZNF519","positive","young"
