"label","group","count"
"cbe_control","negative",3543
"cbe_control","all",9023
"cbe_control","positive",5522
"cbe_control","negative",3658
"cbe_control","all",9180
"cbe_control","positive",5317
"cbe_control","negative",3412
"cbe_control","all",8729
"cbe_control","positive",5288
"cbe_control","negative",3306
"cbe_control","all",8594
"cbe_control","positive",5447
"cbe_control","negative",3386
"cbe_control","all",8833
"cbe_control","positive",6493
"cbe_control","negative",3790
"cbe_control","all",10283
"cbe_control","positive",5577
"cbe_control","negative",3519
"cbe_control","all",9096
"cbe_control","positive",4527
"cbe_control","negative",2930
"cbe_control","all",7457
"cbe_control","positive",7372
"cbe_control","negative",4913
"cbe_control","all",12285
"cbe_control","positive",7932
"cbe_control","negative",5189
"cbe_control","all",13121
"cbe_control","positive",4774
"cbe_control","negative",3028
"cbe_control","all",7802
"cbe_control","positive",6969
"cbe_control","negative",4726
"cbe_control","all",11695
"cbe_control","positive",6259
"cbe_control","negative",3896
"cbe_control","all",10155
"cbe_control","positive",5292
"cbe_control","negative",3231
"cbe_control","all",8523
"cbe_control","positive",5486
"cbe_control","negative",3417
"cbe_control","all",8903
"cbe_control","positive",6640
"cbe_control","negative",4129
"cbe_control","all",10769
"cbe_control","positive",4681
"cbe_control","negative",2918
"cbe_control","all",7599
"cbe_control","positive",6316
"cbe_control","negative",4194
"cbe_control","all",10510
"cbe_control","positive",4970
"cbe_control","negative",3036
"cbe_control","all",8006
"cbe_control","positive",5926
"cbe_control","negative",3462
"cbe_control","all",9388
"cbe_control","positive",5031
"cbe_control","negative",3509
"cbe_control","all",8540
"cbe_control","positive",5636
"cbe_control","negative",3173
"cbe_control","all",8809
"cbe_control","positive",4722
"cbe_control","negative",2702
"cbe_control","all",7424
"cbe_control","positive",4704
"cbe_control","negative",2773
"cbe_control","all",7477
"cbe_control","positive",4454
"cbe_control","negative",2809
"cbe_control","all",7263
"cbe_control","positive",5050
"cbe_control","negative",3359
"cbe_control","all",8409
"cbe_control","positive",6369
"cbe_control","negative",4154
"cbe_control","all",10523
"cbe_control","positive",6379
"cbe_control","negative",4249
"cbe_control","all",10628
"cbe_control","positive",6061
"cbe_control","negative",3943
"cbe_control","all",10004
"cbe_control","positive",4781
"cbe_control","negative",2835
"cbe_control","all",7616
"cbe_control","positive",5232
"cbe_control","negative",3131
"cbe_control","all",8363
"cbe_control","positive",4649
"cbe_control","negative",2857
"cbe_control","all",7506
"cbe_control","positive",3928
"cbe_control","negative",2364
"cbe_control","all",6292
"cbe_control","positive",7183
"cbe_control","negative",4736
"cbe_control","all",11919
"cbe_control","positive",5658
"cbe_control","negative",3968
"cbe_control","all",9626
"cbe_control","positive",5323
"cbe_control","negative",3514
"cbe_control","all",8837
"cbe_control","positive",5448
"cbe_control","negative",3536
"cbe_control","all",8984
"cbe_control","positive",4917
"cbe_control","negative",2965
"cbe_control","all",7882
"cbe_control","positive",3856
"cbe_control","negative",2489
"cbe_control","all",6345
"cbe_control","positive",6595
"cbe_control","negative",4072
"cbe_control","all",10667
"cbe_control","positive",6289
"cbe_control","negative",3953
"cbe_control","all",10242
"cbe_control","positive",7269
"cbe_control","negative",4841
"cbe_control","all",12110
"cbe_control","positive",6297
"cbe_control","negative",3999
"cbe_control","all",10296
"cbe_control","positive",5501
"cbe_control","negative",3697
"cbe_control","all",9198
"cbe_control","positive",5571
"cbe_control","negative",3385
"cbe_control","all",8956
"cbe_control","positive",6506
