"count","group"
20745,"cluster2"
14934,"cluster2"
21437,"cluster2"
20913,"cluster2"
14913,"cluster2"
16585,"cluster2"
18651,"cluster2"
13301,"cluster2"
17997,"cluster2"
26733,"cluster2"
21159,"cluster2"
20584,"cluster2"
23054,"cluster2"
19287,"cluster2"
19415,"cluster2"
19217,"cluster2"
18846,"cluster2"
20478,"cluster2"
22853,"cluster2"
20160,"cluster2"
19929,"cluster2"
15507,"cluster2"
24116,"cluster2"
21111,"cluster2"
26067,"cluster2"
20880,"cluster2"
21828,"cluster2"
19818,"cluster2"
19132,"cluster2"
23590,"cluster2"
22983,"cluster2"
18218,"cluster2"
19000,"cluster2"
25347,"cluster2"
22530,"cluster2"
18271,"cluster2"
19709,"cluster2"
23011,"cluster2"
20529,"cluster2"
21423,"cluster2"
16632,"cluster2"
21878,"cluster2"
21207,"cluster2"
20819,"cluster2"
20410,"cluster2"
16726,"cluster2"
18528,"cluster2"
19435,"cluster2"
15492,"cluster2"
27127,"cluster2"
22993,"cluster2"
18960,"cluster2"
18834,"cluster2"
20605,"cluster2"
26158,"cluster2"
18965,"cluster2"
16428,"cluster2"
17050,"cluster2"
16082,"cluster2"
19248,"cluster2"
20821,"cluster2"
16223,"cluster2"
19616,"cluster2"
22015,"cluster2"
15804,"cluster2"
22499,"cluster2"
18254,"cluster2"
24495,"cluster2"
21125,"cluster2"
26502,"cluster2"
16050,"cluster2"
22880,"cluster2"
21587,"cluster2"
15742,"cluster2"
24051,"cluster2"
17818,"cluster2"
18660,"cluster2"
20904,"cluster2"
19739,"cluster2"
20462,"cluster2"
22692,"cluster2"
20687,"cluster2"
23472,"cluster2"
17591,"cluster2"
20900,"cluster2"
18345,"cluster2"
20583,"cluster2"
21247,"cluster2"
19217,"cluster2"
20840,"cluster2"
23021,"cluster2"
17914,"cluster2"
18926,"cluster2"
19786,"cluster2"
18538,"cluster2"
21911,"cluster2"
20124,"cluster2"
22509,"cluster2"
21731,"cluster2"
22596,"cluster2"
17888,"cluster2"
24072,"cluster2"
19428,"cluster2"
22217,"cluster2"
20302,"cluster2"
15471,"cluster2"
19116,"cluster2"
29346,"cluster2"
22607,"cluster2"
19470,"cluster2"
22494,"cluster2"
16504,"cluster2"
18280,"cluster2"
16090,"cluster2"
18626,"cluster2"
20262,"cluster2"
18166,"cluster2"
17795,"cluster2"
18708,"cluster2"
18894,"cluster2"
23950,"cluster2"
21253,"cluster2"
18077,"cluster2"
21482,"cluster2"
19917,"cluster2"
18276,"cluster2"
19906,"cluster2"
20527,"cluster2"
18884,"cluster2"
22873,"cluster2"
19484,"cluster2"
21177,"cluster2"
20432,"cluster2"
17141,"cluster2"
25902,"cluster2"
19275,"cluster2"
19815,"cluster2"
20883,"cluster2"
21082,"cluster2"
18476,"cluster2"
17012,"cluster2"
20549,"cluster2"
22911,"cluster2"
19403,"cluster2"
20709,"cluster2"
20590,"cluster2"
17413,"cluster2"
22089,"cluster2"
18356,"cluster2"
18050,"cluster2"
20489,"cluster2"
18657,"cluster2"
26075,"cluster2"
18965,"cluster2"
16693,"cluster2"
18503,"cluster2"
21366,"cluster2"
22693,"cluster2"
18921,"cluster2"
19385,"cluster2"
20465,"cluster2"
17602,"cluster2"
16527,"cluster2"
21952,"cluster2"
28406,"cluster2"
12473,"cluster2"
17789,"cluster2"
20767,"cluster2"
18871,"cluster2"
22625,"cluster2"
22907,"cluster2"
25844,"cluster2"
22781,"cluster2"
21621,"cluster2"
18363,"cluster2"
20876,"cluster2"
25986,"cluster2"
23811,"cluster2"
18760,"cluster2"
25888,"cluster2"
19929,"cluster2"
21381,"cluster2"
20785,"cluster2"
26949,"cluster2"
20651,"cluster2"
22082,"cluster2"
19877,"cluster2"
18275,"cluster2"
20050,"cluster2"
23265,"cluster2"
19762,"cluster2"
15043,"cluster2"
17644,"cluster2"
23153,"cluster2"
23017,"cluster2"
22965,"cluster2"
22035,"cluster2"
17417,"cluster2"
19628,"cluster2"
15267,"cluster2"
23361,"cluster2"
20891,"cluster2"
